kpi_name,dimension_type,dimension_value,metric_value
total_proposed_stations,global,Spain_2027,19.0
total_existing_stations_baseline,global,Spain_2027,8535.0
total_friction_points,global,Spain_2027,15.0
total_ev_projected_2027,global,Spain_2027,614412.0
proposed_stations,grid_status,Congested,3.0
total_new_chargers,grid_status,Congested,12.0
total_new_demand_mw,grid_status,Congested,1.7999999999999998
proposed_stations,grid_status,Moderate,12.0
total_new_chargers,grid_status,Moderate,96.0
total_new_demand_mw,grid_status,Moderate,14.399999999999997
proposed_stations,grid_status,Sufficient,4.0
total_new_chargers,grid_status,Sufficient,52.0
total_new_demand_mw,grid_status,Sufficient,7.8
proposed_stations,tier_id,1,3.0
total_new_chargers,tier_id,1,12.0
proposed_stations,tier_id,2,12.0
total_new_chargers,tier_id,2,96.0
proposed_stations,tier_id,3,3.0
total_new_chargers,tier_id,3,36.0
proposed_stations,tier_id,4,1.0
total_new_chargers,tier_id,4,16.0
proposed_stations,distributor,Endesa,2.0
total_new_demand_mw,distributor,Endesa,2.4
proposed_stations,distributor,Viesgo,3.0
total_new_demand_mw,distributor,Viesgo,3.0
proposed_stations,distributor,i-DE,14.0
total_new_demand_mw,distributor,i-DE,18.599999999999998
proposed_stations,province,Illes Balears,2.0
critical_zones_count,province,Illes Balears,0.0
proposed_stations,province,Asturias,2.0
critical_zones_count,province,Asturias,5.0
proposed_stations,province,Lugo,2.0
critical_zones_count,province,Lugo,0.0
proposed_stations,province,Huesca,2.0
critical_zones_count,province,Huesca,0.0
proposed_stations,province,Palencia,2.0
critical_zones_count,province,Palencia,0.0
proposed_stations,province,Cáceres,2.0
critical_zones_count,province,Cáceres,0.0
proposed_stations,province,Cantabria,1.0
critical_zones_count,province,Cantabria,3.0
proposed_stations,province,Toledo,1.0
critical_zones_count,province,Toledo,0.0
proposed_stations,province,Navarra,1.0
critical_zones_count,province,Navarra,0.0
proposed_stations,province,Pontevedra,1.0
critical_zones_count,province,Pontevedra,0.0
proposed_stations,corridor,A-2,0.0
peak_daily_sessions_2027,corridor,A-2,43445.592
proposed_stations,corridor,A-4,0.0
peak_daily_sessions_2027,corridor,A-4,31149.216000000008
proposed_stations,corridor,A-3,0.0
peak_daily_sessions_2027,corridor,A-3,26992.308
proposed_stations,corridor,A-1,0.0
peak_daily_sessions_2027,corridor,A-1,25999.428
proposed_stations,corridor,A-6,0.0
peak_daily_sessions_2027,corridor,A-6,22733.28
proposed_stations,corridor,A-5,0.0
peak_daily_sessions_2027,corridor,A-5,18778.92
proposed_stations,corridor,AP-7,0.0
peak_daily_sessions_2027,corridor,AP-7,15326.039999999995
proposed_stations,corridor,N-II,0.0
peak_daily_sessions_2027,corridor,N-II,14481.863999999998
proposed_stations,corridor,A-7,0.0
peak_daily_sessions_2027,corridor,A-7,14451.552
proposed_stations,corridor,N-IV,0.0
peak_daily_sessions_2027,corridor,N-IV,11793.78
proposed_stations,corridor,N-I,0.0
peak_daily_sessions_2027,corridor,N-I,11063.844
proposed_stations,corridor,N-III,0.0
peak_daily_sessions_2027,corridor,N-III,7712.088000000002
proposed_stations,corridor,AP-2,0.0
peak_daily_sessions_2027,corridor,AP-2,5808.0
proposed_stations,corridor,N-340,0.0
peak_daily_sessions_2027,corridor,N-340,4597.812
proposed_stations,corridor,A-8,0.0
peak_daily_sessions_2027,corridor,A-8,2114.136
proposed_stations,corridor,AP-68,0.0
peak_daily_sessions_2027,corridor,AP-68,1043.1360000000002
proposed_stations,corridor,A-92,0.0
peak_daily_sessions_2027,corridor,A-92,880.0200000000001
proposed_stations,corridor,AP-4,0.0
peak_daily_sessions_2027,corridor,AP-4,528.24
proposed_stations,corridor,A-44,0.0
peak_daily_sessions_2027,corridor,A-44,309.672
proposed_stations,corridor,A-54,1.0
peak_daily_sessions_2027,corridor,A-54,0.0
proposed_stations,corridor,A-63,1.0
peak_daily_sessions_2027,corridor,A-63,0.0
proposed_stations,corridor,A-67,1.0
peak_daily_sessions_2027,corridor,A-67,0.0
proposed_stations,corridor,AP-36,1.0
peak_daily_sessions_2027,corridor,AP-36,0.0
proposed_stations,corridor,N-120,2.0
peak_daily_sessions_2027,corridor,N-120,0.0
proposed_stations,corridor,N-121,1.0
peak_daily_sessions_2027,corridor,N-121,0.0
proposed_stations,corridor,N-122,1.0
peak_daily_sessions_2027,corridor,N-122,0.0
proposed_stations,corridor,N-123,2.0
peak_daily_sessions_2027,corridor,N-123,0.0
proposed_stations,corridor,N-420,1.0
peak_daily_sessions_2027,corridor,N-420,0.0
proposed_stations,corridor,N-430,1.0
peak_daily_sessions_2027,corridor,N-430,0.0
proposed_stations,corridor,N-502,1.0
peak_daily_sessions_2027,corridor,N-502,0.0
proposed_stations,corridor,N-521,2.0
peak_daily_sessions_2027,corridor,N-521,0.0
proposed_stations,corridor,N-621,1.0
peak_daily_sessions_2027,corridor,N-621,0.0
proposed_stations,corridor,N-625,1.0
peak_daily_sessions_2027,corridor,N-625,0.0
proposed_stations,corridor,N-631,1.0
peak_daily_sessions_2027,corridor,N-631,0.0
proposed_stations,corridor,N-640,1.0
peak_daily_sessions_2027,corridor,N-640,0.0
total_critical_zones,global,Spain_2027,35.0
total_deficit_mw,global,Spain_2027,18.318399999999997
total_priority_score,global,Spain_2027,335269.23000000004
