province_code_dgt,province_code_ine,province_name,bev_registrations_2024,ev_share_national,bev_registrations_2027_proj,proposed_stations,total_new_chargers,total_new_demand_kw,friction_points_count,critical_zones_count
M,28,Madrid,25767,0.49201,302296,0,0,0,0,8
B,8,Barcelona,6775,0.12937,79484,0,0,0,0,0
V,46,Valencia,1600,0.03055,18771,0,0,0,0,0
A,3,Alicante,1443,0.02755,16929,0,0,0,0,0
GC,35,Las Palmas,1410,0.02692,16542,0,0,0,0,0
MA,29,Málaga,1366,0.02608,16026,0,0,0,0,0
Z,50,Zaragoza,1191,0.02274,13973,0,0,0,0,0
IB,7,Illes Balears,953,0.0182,11181,2,28,4200,0,0
S,39,Cantabria,846,0.01615,9925,1,4,600,1,3
TF,38,Santa Cruz de Tenerife,793,0.01514,9303,0,0,0,0,0
CO,14,Córdoba,745,0.01423,8740,0,0,0,0,0
SE,41,Sevilla,671,0.01281,7872,0,0,0,0,0
TO,45,Toledo,578,0.01104,6781,1,8,1200,1,0
,31,Navarra,517,0.00987,6065,1,8,1200,1,0
BI,48,Bizkaia,501,0.00957,5878,0,0,0,0,0
MU,30,Murcia,495,0.00945,5807,0,0,0,0,1
O,33,Asturias,482,0.0092,5655,2,16,2400,2,5
GR,18,Granada,475,0.00907,5573,0,0,0,0,0
PO,36,Pontevedra,452,0.00863,5303,1,12,1800,0,0
C,15,A Coruña,438,0.00836,5139,0,0,0,0,0
VA,47,Valladolid,367,0.00701,4306,0,0,0,0,0
GI,17,Girona,366,0.00699,4294,0,0,0,0,0
BA,6,Badajoz,304,0.0058,3567,1,8,1200,1,0
T,43,Tarragona,290,0.00554,3402,0,0,0,0,0
L,25,Lleida,285,0.00544,3344,0,0,0,0,0
GU,19,Guadalajara,271,0.00517,3179,0,0,0,0,0
SS,20,Gipuzkoa,268,0.00512,3144,0,0,0,0,0
CA,11,Cádiz,267,0.0051,3132,0,0,0,0,0
J,23,Jaén,258,0.00493,3027,0,0,0,0,0
LU,27,Lugo,236,0.00451,2769,2,12,1800,2,0
CR,13,Ciudad Real,216,0.00412,2534,0,0,0,0,0
VI,1,Araba/Álava,184,0.00351,2159,0,0,0,0,0
CS,12,Castellón,179,0.00342,2100,0,0,0,0,0
BU,9,Burgos,161,0.00307,1889,0,0,0,0,0
LO,26,La Rioja,160,0.00306,1877,0,0,0,0,0
HU,22,Huesca,132,0.00252,1549,2,16,2400,2,0
SA,37,Salamanca,112,0.00214,1314,0,0,0,0,0
OU,32,Ourense,108,0.00206,1267,0,0,0,0,1
LE,24,León,105,0.002,1232,0,0,0,0,6
AL,4,Almería,104,0.00199,1220,0,0,0,0,0
AB,2,Albacete,99,0.00189,1161,0,0,0,0,0
P,34,Palencia,76,0.00145,892,2,12,1800,2,0
H,21,Huelva,51,0.00097,598,0,0,0,0,0
SG,40,Segovia,50,0.00095,587,0,0,0,0,0
AV,5,Ávila,41,0.00078,481,0,0,0,0,0
ZA,49,Zamora,36,0.00069,422,1,8,1200,1,0
SO,42,Soria,29,0.00055,340,1,12,1800,0,0
CC,10,Cáceres,29,0.00055,340,2,16,2400,2,0
TE,44,Teruel,27,0.00052,317,0,0,0,0,0
CU,16,Cuenca,23,0.00044,270,0,0,0,0,0
CE,51,Ceuta,21,0.0004,246,0,0,0,0,0
ML,52,Melilla,18,0.00034,211,0,0,0,0,0
,,Unknown,0,0.0,0,0,0,0,0,0
