location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_001,42.78247,-7.89001,N-640,2,Congested
IBE_002,41.93092,-6.11659,N-631,4,Moderate
IBE_003,42.12507,0.40344,N-123,4,Moderate
IBE_004,43.13948,-1.55327,N-121,4,Moderate
IBE_005,39.5103,-7.11023,N-521,4,Moderate
IBE_006,42.50674,-7.52404,N-120,4,Moderate
IBE_007,43.1696,-5.07506,N-625,4,Moderate
IBE_008,41.81106,-2.08831,N-122,4,Sufficient
IBE_009,42.31315,-4.7168,N-120,2,Congested
IBE_010,43.09772,-4.68463,N-621,2,Congested
IBE_011,43.38258,-6.08972,A-63,4,Moderate
IBE_012,39.29113,-5.0976,N-502,4,Moderate
IBE_013,39.76613,-3.14194,AP-36,4,Moderate
IBE_014,39.638,-2.57696,N-420,4,Sufficient
IBE_015,39.01835,-4.45849,N-430,4,Sufficient
IBE_016,42.17957,0.33653,N-123,4,Moderate
IBE_017,39.46588,-6.97559,N-521,4,Moderate
IBE_018,42.92336,-8.20548,A-54,4,Sufficient
IBE_019,42.55675,-4.36465,A-67,4,Moderate
